Name,Hash,Id,Tag,Rarity,Tier,Type,Source,Category,Element,Ammo,Power,Archetype,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Holofoil,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Persistence,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Ammo Generation,Heat Generated,Cooling Efficiency,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18,Perks 19
Mercury-A,2838279629,"""6917530139731790971""",archive,Legendary,3,Combat Bow,edgeoffate,KineticSlot,Kinetic,primary,402,High-Impact Longbow,Draw Time,1,Vault,true,false,false,8,27,,58,50,92,0,18,0,0,0,75,0,40,0,45,0,763,50,0,0,0,0,0,16,50,0,0,false,0,0,hakke,,,High-Impact Longbow*,Agile Bowstring*,Flexible String,Compact Arrow Shaft*,Helical Fletching,Successful Warm-Up*,Rapid Hit,Kinetic Tremors*,High Ground,Vanguard Determination*,Häkke Breach Armaments,Tenacity,Kill Tracker,Tier 1: Draw Time*,,,,,,
Microcosm,4207066264,"""6917530023127275592""",keep,Exotic,0,Trace Rifle,paleheart,Power,Kinetic,heavy,10,Paracausal Beam,,,Vault,true,false,false,7,24,,98,100,6,78,16,0,0,0,90,1000,25,104,58,0,0,0,0,0,0,0,0,10,47,0,0,false,0,0,,,,Paracausal Beam*,Hammer-Forged Rifling*,Enhanced Battery*,Paracausal Imbuement*,Hand-Laid Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,,
MIDA Macro-Tool,2699423382,"""6917530145385372951""",archive,Legendary,4,Shotgun,crucible,Energy,Arc,special,419,MIDA Synergy,Handling,1,Vault,true,false,false,8,27,,76,71,70,88,12,0,0,0,42,65,42,5,37,0,0,0,0,0,0,0,0,3,44,0,0,false,0,0,,,,MIDA Synergy*,Rifled Barrel,Smoothbore*,Tactical Mag,Accurized Rounds*,Discord*,Envious Assassin,Opening Shot*,Closing Time,Roar of Battle*,Kill Tracker,Tier 1: Handling*,,,,,,,,
MIDA Macro-Tool,2699423382,"""6917530145858917970""",archive,Legendary,4,Shotgun,crucible,Energy,Arc,special,442,MIDA Synergy,Handling,4,Vault,true,false,false,8,27,,76,71,70,65,12,0,0,0,42,65,53,5,42,0,0,0,0,0,0,0,0,3,44,0,0,false,0,1,,,,MIDA Synergy*,Rifled Barrel,Full Choke*,Tactical Mag,Light Mag*,Threat Detector*,Lone Wolf,Master of Arms,Trench Barrel*,Roar of Battle*,Kill Tracker,Tier 4: Handling*,,,,,,,,
MIDA Macro-Tool,2699423382,"""6917530146776458039""",archive,Legendary,5,Shotgun,crucible,Energy,Arc,special,456,MIDA Synergy,Reload Speed,3,Vault,true,false,false,8,27,,76,71,70,82,12,0,0,0,42,65,56,5,36,0,0,0,0,0,0,0,0,3,44,0,0,false,0,0,,,,MIDA Synergy*,Smoothbore*,Full Choke,Tactical Mag,Light Mag*,Threat Detector,Slideshot*,Envious Assassin,Closing Time,Rolling Storm,Trench Barrel*,Roar of Battle*,Kill Tracker,Tier 3: Reload Speed*,Ferrous MIDA Macro-Tool*,Sparks Everlasting*,,,,
MIDA Mini-Tool,3089417788,"""6917530145016511099""",archive,Legendary,0,Submachine Gun,edz,Energy,Solar,primary,200,MIDA Synergy,Stability,1,Vault,true,false,false,1,1,,80,49,15,30,14,0,0,0,55,900,31,42,80,0,0,0,0,0,0,0,0,28,70,0,0,false,0,0,,,,MIDA Synergy*,Fluted Barrel*,Alloy Magazine*,Hip-Fire Grip*,Kill Clip*,Kill Tracker,Tier 1: Stability*,,,,,,,,,,,,,
MIDA Mini-Tool,3946054154,"""6917530145369807880""",archive,Legendary,3,Submachine Gun,edgeoffate,Energy,Solar,primary,428,MIDA Synergy,Stability,2,Vault,true,false,false,8,27,,100,49,15,35,14,0,0,0,51,900,31,42,75,0,0,0,0,0,0,0,0,28,70,0,0,false,0,0,,,,MIDA Synergy*,Arrowhead Brake*,Fluted Barrel,Armor-Piercing Rounds*,High-Caliber Rounds,Attrition Orbs*,Discord,Aggregate Charge*,Collective Pugilism,Vanguard Determination*,Roar of Battle,Kill Tracker,Tier 2: Stability*,,,,,,,
MIDA Mini-Tool,3946054154,"""6917530146251931537""",archive,Legendary,4,Submachine Gun,edgeoffate,Energy,Solar,primary,438,MIDA Synergy,Handling,1,Vault,true,false,false,8,27,,80,49,15,30,14,0,0,0,55,900,33,46,82,0,0,0,0,0,0,0,0,28,70,0,0,false,0,0,,,,MIDA Synergy*,Fluted Barrel*,Polygonal Rifling,Appended Mag*,Light Mag,Heal Clip*,Attrition Orbs,Master of Arms*,Aggregate Charge,Vanguard Determination*,Roar of Battle,Kill Tracker,Tier 1: Handling*,,,,,,,
MIDA Mini-Tool,3946054154,"""6917530146821761126""",archive,Legendary,5,Submachine Gun,edgeoffate,Energy,Solar,primary,449,MIDA Synergy,Stability,3,Vault,true,false,false,8,27,,80,49,15,36,14,0,0,0,58,900,13,47,70,0,0,0,0,0,0,0,0,38,70,0,0,false,0,0,,,,MIDA Synergy*,Corkscrew Rifling*,Extended Barrel,Extended Mag*,Light Mag,Attrition Orbs*,Perpetual Motion,Loose Change,Master of Arms*,Aggregate Charge,Collective Pugilism,Vanguard Determination*,Roar of Battle,Kill Tracker,Tier 3: Stability*,Ferrous MIDA Mini-Tool*,Sparks Everlasting*,,,
MIDA Multi-Tool,1331482397,"""6917530144510990607""",keep,Exotic,0,Scout Rifle,,KineticSlot,Kinetic,primary,422,MIDA Multi-Tool,,10,Vault,true,false,false,1,1,,80,100,60,45,20,0,0,0,45,200,80,16,85,0,0,0,0,0,0,0,0,25,60,0,0,false,0,9,,,,MIDA Multi-Tool*,Corkscrew Rifling*,High-Caliber Rounds*,MIDA Software Package*,Hand-Laid Stock*,Kill Tracker,,,,,,,,,,,,,,
Midnight Coup,2763843898,"""6917530002255766447""",archive,Legendary,0,Hand Cannon,brave,KineticSlot,Kinetic,primary,10,Adaptive Frame,Handling,2,Vault,true,false,false,6,23,,80,90,84,50,14,0,0,0,50,140,56,12,77,0,0,0,0,0,0,0,0,24,60,0,0,false,0,6,,,,Adaptive Frame*,Extended Barrel,Fluted Barrel*,Accurized Rounds*,Alloy Magazine,Explosive Payload*,Opening Shot*,Indomitability*,Kill Tracker,Tier 2: Handling*,Jacarina*,,,,,,,,,
Midnight Coup,2499720827,"""6917530010785009233""",archive,Legendary,0,Hand Cannon,brave,KineticSlot,Kinetic,primary,10,Adaptive Frame,Stability,10,Vault,true,false,true,6,23,,80,90,84,40,14,0,0,0,70,140,66,13,60,0,0,0,0,0,0,0,0,24,60,0,0,false,0,0,,,,Adaptive Frame*,Polygonal Rifling*,Smallbore,Tactical Mag*,Extended Mag,Shoot to Loot*,Attrition Orbs,One for All*,Opening Shot,Indomitability*,Kill Tracker,Masterworked: Stability*,BRAVE Midnight Coup*,,,,,,,
Mint Retrograde,42435996,"""6917530137286046954""",archive,Legendary,1,Pulse Rifle,pinnacleops,KineticSlot,Strand,special,361,Micro-Missile Frame,Reload Speed,10,Vault,true,false,false,8,27,,60,74,0,0,20,73,70,0,48,200,46,6,36,0,0,0,0,0,0,0,0,20,14,0,0,false,0,423,,,,Micro-Missile Frame*,Quick Launch*,Smart Drift Control,Tactical Mag*,High-Velocity Rounds,Rewind Rounds*,Chain Reaction*,Problem Solver*,Vanguard Determination,Kill Tracker,Bandolier*,Masterworked: Reload Speed*,Superblack*,,,,,,,
Mint Retrograde,42435996,"""6917530138522632705""",archive,Legendary,3,Pulse Rifle,pinnacleops,KineticSlot,Strand,special,368,Micro-Missile Frame,Velocity,1,Vault,true,false,false,8,27,,60,74,0,0,20,87,55,0,47,200,35,5,15,0,0,0,0,0,0,0,0,20,9,0,0,false,0,0,,,,Micro-Missile Frame*,Volatile Launch*,Countermass,Tactical Mag*,Alloy Magazine,Stats for All*,Envious Arsenal,Chain Reaction*,One for All,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 1: Velocity*,,,,,,,
Mint Retrograde,42435996,"""6917530138572179701""",archive,Legendary,3,Pulse Rifle,pinnacleops,KineticSlot,Strand,special,380,Micro-Missile Frame,Handling,1,Vault,true,false,false,8,27,,60,74,0,0,20,87,54,0,42,200,25,6,16,0,0,0,0,0,0,0,0,20,9,0,0,false,0,0,,,,Micro-Missile Frame*,Volatile Launch*,Countermass,Appended Mag*,Flared Magwell,Rewind Rounds*,Hatchling,Chain Reaction*,Elemental Honing,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 1: Handling*,,,,,,,
Mint Retrograde,42435996,"""6917530143022392813""",archive,Legendary,4,Pulse Rifle,pinnacleops,KineticSlot,Strand,special,416,Micro-Missile Frame,Velocity,1,Vault,true,false,false,8,27,,60,74,0,0,20,88,56,0,42,200,27,6,15,0,0,0,0,0,0,0,0,20,9,0,0,false,0,0,,,,Micro-Missile Frame*,Volatile Launch*,Smart Drift Control,Appended Mag*,Extended Mag,Beacon Rounds*,Hatchling,Bait and Switch*,Slice,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 1: Velocity*,,,,,,,
Mint Retrograde,3285784871,"""6917530184172690591""",keep,Legendary,4,Pulse Rifle,,KineticSlot,Strand,special,492,Micro-Missile Frame,Blast Radius,10,Warlock(433),true,false,false,8,28,,60,74,0,0,20,100,59,0,46,200,11,6,19,0,0,0,0,0,0,0,0,30,9,0,0,false,0,39,,"00002:Arc,Trials",PVE,Micro-Missile Frame*,Volatile Launch*,Smart Drift Control,Appended Mag,Extended Mag*,Rewind Rounds*,Envious Arsenal,Bait and Switch,Elemental Honing*,Problem Solver*,Vanguard Determination,Kill Tracker,Masterworked: Blast Radius*,,,,,,,
Mint Retrograde,3285784871,"""6917530184551405601""",archive,Legendary,1,Pulse Rifle,,KineticSlot,Strand,special,487,Micro-Missile Frame,Blast Radius,1,Vault,true,false,false,8,28,,60,74,0,0,20,83,49,0,57,200,5,6,20,0,0,0,0,0,0,0,0,30,9,0,0,false,0,0,,,,Micro-Missile Frame*,Confined Launch*,Countermass,Extended Mag*,High-Velocity Rounds,Beacon Rounds*,Frenzy*,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 1: Blast Radius*,,,,,,,,,
Mint Retrograde,3285784871,"""6917530184553437062""",archive,Legendary,3,Pulse Rifle,,KineticSlot,Strand,special,487,Micro-Missile Frame,Velocity,3,Vault,true,false,false,8,28,,90,74,0,0,20,72,62,0,52,200,25,6,30,0,0,0,0,0,0,0,0,20,9,0,0,false,0,0,,,,Micro-Missile Frame*,Countermass*,Smart Drift Control,Appended Mag*,High-Explosive Ordnance,Beacon Rounds*,Hatchling,Cascade Point*,Elemental Honing,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 3: Velocity*,,,,,,,
Mint Retrograde,3285784871,"""6917530184555208442""",archive,Legendary,2,Pulse Rifle,,KineticSlot,Strand,special,487,Micro-Missile Frame,Blast Radius,3,Vault,true,false,false,8,28,,60,74,0,0,20,70,74,0,32,200,25,5,20,0,0,0,0,0,0,0,0,20,19,0,0,false,0,0,,,,Micro-Missile Frame*,Hard Launch*,Smart Drift Control,Alloy Magazine*,Implosion Rounds,Envious Arsenal*,Elemental Honing*,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 3: Blast Radius*,,,,,,,,,
Mint Retrograde,3285784871,"""6917530184557287527""",archive,Legendary,5,Pulse Rifle,,KineticSlot,Strand,special,500,Micro-Missile Frame,Velocity,2,Vault,true,false,false,8,28,,60,74,0,0,20,88,57,0,42,200,25,5,15,0,0,0,0,0,0,0,0,20,9,0,0,false,0,0,,,,Micro-Missile Frame*,Volatile Launch*,Quick Launch,Alloy Magazine*,Flared Magwell,Rewind Rounds*,Field Prep,Impulse Amplifier,Chain Reaction*,Cascade Point,Master of Arms,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 2: Velocity*,Triumphant Pulse*,,,,
Mint Retrograde,3285784871,"""6917530184557291963""",archive,Legendary,5,Pulse Rifle,,KineticSlot,Strand,special,500,Micro-Missile Frame,Handling,3,Vault,true,false,false,8,28,,60,74,0,0,20,88,55,0,42,200,25,5,18,0,0,0,0,0,0,0,0,20,39,0,0,false,0,0,,,,Micro-Missile Frame*,Volatile Launch*,Quick Launch,Alloy Magazine*,Flared Magwell,Field Prep*,Hatchling,Impulse Amplifier,Bait and Switch*,Master of Arms,Frenzy,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 3: Handling*,Triumphant Pulse*,,,,
Mint Retrograde,3285784871,"""6917530184608286930""",,Legendary,5,Pulse Rifle,,KineticSlot,Strand,special,504,Micro-Missile Frame,Reload Speed,1,Vault,false,false,false,8,28,,60,74,0,0,20,72,70,0,42,200,8,6,36,0,0,0,0,0,0,0,0,30,9,0,0,false,0,0,,,,Micro-Missile Frame*,Quick Launch*,Smart Drift Control,Extended Mag*,High-Explosive Ordnance,Beacon Rounds*,Impulse Amplifier,Envious Arsenal,Chain Reaction*,Master of Arms,Frenzy,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 1: Reload Speed*,Triumphant Pulse*,,,,
Monte Carlo,4068264807,"""6917529735917506936""",keep,Exotic,0,Auto Rifle,,KineticSlot,Kinetic,primary,501,Monte Carlo Method,,10,Warlock(433),true,false,false,3,8,,80,50,21,50,15,0,0,0,65,600,79,41,80,0,0,0,0,0,0,0,0,29,52,0,0,false,0,2278,,"00002:Beta,🟣 Soul Siphon - Winters",,Monte Carlo Method*,Fluted Barrel*,High-Caliber Rounds*,Markov Chain*,Composite Stock*,Kill Tracker,Monte Carlo Catalyst*,,,,,,,,,,,,,
Multimach CCX,3211624072,"""6917530006778370549""",archive,Legendary,0,Submachine Gun,ironbanner,KineticSlot,Kinetic,primary,10,Lightweight Frame,Range,10,Vault,true,false,false,6,23,,100,55,15,46,15,0,0,0,50,900,41,41,70,0,0,0,0,0,0,0,0,12,64,0,0,false,0,59,field-forged,,,Lightweight Frame*,Fluted Barrel,Smallbore*,Accurized Rounds,Flared Magwell*,Dynamic Sway Reduction*,Target Lock*,Skulking Wolf*,Field-Tested,Kill Tracker,Masterworked: Range*,Superblack*,,,,,,,,
Multimach CCX,3211624072,"""6917530007267666408""",archive,Legendary,0,Submachine Gun,ironbanner,KineticSlot,Kinetic,primary,10,Lightweight Frame,Range,10,Vault,true,false,false,6,23,,100,55,15,54,15,0,0,0,43,900,26,41,75,0,0,0,0,0,0,0,0,12,64,0,0,false,0,28,field-forged,,,Lightweight Frame*,Corkscrew Rifling*,Polygonal Rifling,Accurized Rounds*,Alloy Magazine,Dynamic Sway Reduction*,Tap the Trigger*,Skulking Wolf,Field-Tested*,Kill Tracker,Masterworked: Range*,,,,,,,,,
Nameless Midnight,1957301533,"""6917530184567070591""",,Legendary,5,Scout Rifle,,KineticSlot,Kinetic,primary,501,Precision Frame,Reload Speed,3,Vault,false,false,false,8,28,,89,62,62,51,20,0,0,0,38,180,34,19,32,0,0,0,0,0,0,0,0,20,46,0,0,false,0,0,,,,Precision Frame*,Extended Barrel*,Smallbore,Extended Mag*,Flared Magwell,Triple Tap*,Outlaw,Shoot to Loot,Explosive Payload*,Feeding Frenzy,All-Star,Vanguard Determination*,Nadir Focus,Kill Tracker,Tier 3: Reload Speed*,Triumphant Pulse*,,,,
New Land Beyond,2581676735,"""6917530127175710684""",keep,Exotic,0,Sniper Rifle,deluxe,KineticSlot,Kinetic,special,200,The Master,,,Vault,true,false,false,7,26,,80,69,90,87,25,0,0,0,38,72,21,4,74,0,0,0,0,0,0,0,0,1,54,0,0,false,0,0,field-forged,,,The Master*,Horizon Ironsights*,Accurized Rounds*,Bullseye Bolster*,Snapshot Sights*,Short-Action Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,
New Malpais,1736135946,"""6917530145366322280""",keep,Exotic,0,Pulse Rifle,seasonpass,KineticSlot,Strand,special,425,Atomizing Rounds,,,Vault,true,false,false,8,27,,80,74,23,38,17,0,0,0,57,320,66,36,36,0,0,0,0,0,0,0,0,20,24,0,0,false,0,22,,,,Atomizing Rounds*,Hammer-Forged Rifling*,Tactical Mag*,Suspending Blast*,Fitted Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,,
New Purpose,1400385226,"""6917530184205967189""",archive,Legendary,5,Pulse Rifle,duality,KineticSlot,Stasis,primary,493,High-Impact Frame,Stability,2,Vault,true,false,false,8,28,,100,32,33,65,18,0,0,0,56,340,31,28,38,0,0,0,0,0,0,0,0,19,60,0,0,false,0,0,,,,High-Impact Frame*,Arrowhead Brake*,Polygonal Rifling,Alloy Magazine*,High-Caliber Rounds,Headstone*,Rapid Hit,Zen Moment,Rimestealer*,Desperado,Swashbuckler,Bitterspite*,Kill Tracker,Tier 2: Stability*,Triumphant Pulse*,,,,,
Nezarec's Whisper,254636484,"""6917529861013622319""",keep,Legendary,0,Glaive,haunted,Energy,Arc,special,10,Adaptive Glaive,,,Vault,false,false,false,5,17,,0,55,80,65,0,0,0,0,0,55,25,7,42,0,0,0,0,0,0,0,32,9,50,0,0,crafted,12,800,,,,Adaptive Glaive*,Ballistic Tuning*,Alloy Magazine*,Tilting at Windmills*,Adrenaline Junkie*,Extrovert*,Kill Tracker,,,,,,,,,,,,,
Null Composure,1644680957,"""6917529473434642833""",archive,Legendary,0,Fusion Rifle,gunsmith,Energy,Void,special,43,Rapid-Fire Frame,Range,10,Vault,true,false,false,4,14,,55,38,55,49,16,0,0,0,40,0,48,8,71,533,0,0,0,0,0,0,0,4,55,0,0,false,0,1217,,,,Rapid-Fire Frame*,Fluted Barrel*,Projection Fuse*,Feeding Frenzy*,Heating Up,Reservoir Burst*,High-Impact Reserves,Kill Tracker,Backup Mag*,Masterworked: Range*,Primer*,,,,,,,,,
Null Composure,2150643740,"""6917530184608291970""",archive,Legendary,5,Fusion Rifle,ritual-weapon,Energy,Void,special,504,Rapid-Fire Frame,Stability,5,Warlock(433),true,false,false,8,28,,85,38,55,29,16,0,0,0,52,0,48,8,68,533,0,0,0,0,0,0,0,4,55,0,0,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Full Bore,Particle Repeater*,Projection Fuse,Overflow*,Reconstruction,Successful Warm-Up,Reservoir Burst*,Controlled Burst,Master of Arms,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 5: Stability*,Triumphant Pulse*,,,,
Osteo Striga,46524085,"""6917529810622387619""",keep,Exotic,0,Submachine Gun,exoticquest,KineticSlot,Kinetic,primary,10,Screaming Swarm,,10,Vault,false,false,false,5,16,,99,55,25,80,13,0,0,0,77,600,63,30,41,0,0,0,0,0,0,0,0,27,30,0,0,crafted,93,9499,,,,Screaming Swarm*,Fluted Barrel*,Flared Magwell*,Toxic Overload*,Hand-Laid Stock*,Kill Tracker,Osteo Striga Catalyst*,Blooming Gilt*,,,,,,,,,,,,
Ouster Engine,2223968549,"""6917530184608287028""",,Legendary,5,Grenade Launcher,,KineticSlot,Stasis,special,504,Area Denial Frame,Handling,2,Vault,false,false,false,8,28,,92,72,0,0,13,100,82,0,33,72,74,1,76,0,0,0,0,0,0,0,0,3,88,0,0,false,0,0,suros,,,Area Denial Frame*,Countermass*,Linear Compensator,High-Velocity Rounds*,Implosion Rounds,Air Trigger*,Auto-Loading Holster,Blast Distributor,One for All,Chaos Reshaped*,Aggregate Charge,Problem Solver*,Vanguard Determination,Suros Synergy,Kill Tracker,Tier 2: Handling*,Triumphant Pulse*,,,
Outbreak Perfected,3824673936,"""6917530018301460905""",keep,Exotic,0,Pulse Rifle,,KineticSlot,Kinetic,primary,492,The Corruption Spreads IV,,10,Vault,true,false,false,2,6,,100,65,27,54,17,0,0,0,40,450,45,35,70,0,0,0,0,0,0,0,0,29,54,0,0,crafted,39,312,,,,The Corruption Spreads IV*,Arrowhead Brake*,Accurized Rounds*,Headseeker*,Parasitism*,Short-Action Stock*,Kill Tracker,Disease Vector*,Matterscourge*,,,,,,,,,,,
Outbreak Perfected,3824673936,"""6917530027601440248""",keep,Exotic,0,Pulse Rifle,,KineticSlot,Kinetic,primary,416,The Corruption Spreads IV,,10,Warlock(433),false,false,false,2,6,,100,65,27,44,17,0,0,0,40,450,25,44,70,0,0,0,0,0,0,0,0,39,54,0,0,crafted,33,1236,,,,The Corruption Spreads IV*,Arrowhead Brake*,Extended Mag*,Rewind Rounds*,Parasitism*,Short-Action Stock*,Kill Tracker,Disease Vector*,Matterscourge*,,,,,,,,,,,
Outrageous Fortune,4146673634,"""6917530137360761454""",archive,Legendary,3,Grenade Launcher,pinnacleops,Power,Solar,heavy,311,Rapid-Fire Frame,Handling,5,Vault,true,false,false,8,27,,57,30,0,0,13,20,70,0,29,150,30,7,45,0,0,0,0,0,0,0,0,6,40,0,0,false,0,0,hakke,,,Rapid-Fire Frame*,Countermass,Quick Launch*,High-Explosive Ordnance,High-Velocity Rounds*,Envious Arsenal,Incandescent*,Chain Reaction*,Explosive Light,Problem Solver*,Vanguard Determination,Häkke Breach Armaments,Kill Tracker,Tier 5: Handling*,,,,,,
Outrageous Fortune,4146673634,"""6917530138529752983""",keep,Legendary,3,Grenade Launcher,pinnacleops,Power,Solar,heavy,357,Rapid-Fire Frame,Handling,10,Warlock(433),true,false,false,8,27,,57,30,0,0,13,38,48,0,32,150,3,8,33,0,0,0,0,0,0,0,0,6,50,0,0,false,0,1,hakke,"00004:Arc,Dungeon,Dungeon - Copy,Prismatic",,Rapid-Fire Frame*,Volatile Launch*,Hard Launch,Augmented Drum*,High-Explosive Ordnance,Envious Arsenal*,Incandescent,Full Court,Bait and Switch*,Problem Solver*,Vanguard Determination,Häkke Breach Armaments,Kill Tracker,Masterworked: Handling*,,,,,,
Parasite,2812324400,"""6917530145069001735""",keep,Exotic,0,Grenade Launcher,exoticquest,Power,Solar,heavy,200,Worm's Hunger,,,Vault,true,false,false,5,16,,77,68,0,0,13,100,0,0,53,120,44,1,47,0,0,0,0,0,0,0,0,11,0,0,0,false,0,0,,,,Worm's Hunger*,Volatile Launch*,High-Explosive Ordnance*,Worm Byproduct*,Composite Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,,
Pardon Our Dust,3849810018,"""6917529859565473099""",keep,Legendary,0,Grenade Launcher,30th,KineticSlot,Kinetic,special,10,Lightweight Frame,,,Vault,false,false,false,4,15,,100,75,0,0,13,90,83,0,53,90,69,1,78,0,0,0,0,0,0,0,0,2,67,0,0,crafted,7,168,,,,Lightweight Frame*,Countermass*,Implosion Rounds*,Perpetual Motion*,Adrenaline Junkie*,Hot Swap*,Kill Tracker,Skitchpaint*,,,,,,,,,,,,
Pardon Our Dust,3849810018,"""6917530013352936021""",keep,Legendary,0,Grenade Launcher,30th,KineticSlot,Kinetic,special,10,Lightweight Frame,Handling,10,Vault,false,false,false,4,15,,77,75,0,0,13,0,85,0,30,90,71,1,93,0,0,0,0,0,0,0,0,2,67,0,0,crafted,20,35,,,,Lightweight Frame*,Quick Launch*,Disorienting Grenades*,Auto-Loading Holster*,Demolitionist*,Hot Swap*,Kill Tracker,Superblack*,,,,,,,,,,,,
Perfect Pitch,3276304504,"""6917530033145084115""",archive,Legendary,0,Submachine Gun,crucible,Energy,Solar,primary,10,Precision Frame,Stability,10,Vault,true,false,false,7,24,,93,54,25,64,15,0,0,0,56,600,28,30,20,0,0,0,0,0,0,0,0,15,21,0,0,false,0,0,,,,Precision Frame*,Smallbore*,Light Mag*,Subsistence*,To the Pain,Incandescent*,Onslaught,Vanguard's Vindication*,One Quiet Moment,Gun and Run,Kill Tracker,Masterworked: Stability*,,,,,,,,
Phoneutria Fera,3496887154,"""6917530133345100040""",archive,Legendary,2,Hand Cannon,events,Energy,Solar,primary,200,Spread Shot,Reload Speed,1,Vault,true,false,false,8,27,,93,65,96,45,12,0,0,0,40,100,6,11,35,0,0,0,0,0,0,0,0,33,56,0,0,false,0,0,hakke,,,Spread Shot*,Arrowhead Brake,Hammer-Forged Rifling*,Extended Mag*,Alloy Magazine,Slideshot*,Incandescent*,Tenacity*,Häkke Breach Armaments,Kill Tracker,Tier 1: Reload Speed*,,,,,,,,,
Phoneutria Fera,3496887154,"""6917530146600113064""",archive,Legendary,5,Hand Cannon,events,Energy,Solar,primary,441,Spread Shot,Range,3,Vault,true,false,false,8,27,,93,65,96,38,12,0,0,0,52,100,36,9,51,0,0,0,0,0,0,0,0,23,56,0,0,false,0,0,hakke,,,Spread Shot*,Fluted Barrel*,Hammer-Forged Rifling,Tactical Mag*,Extended Mag,Barrel Constrictor*,Threat Remover,Threat Detector,One-Two Punch*,Swashbuckler,Incandescent,Tenacity*,Häkke Breach Armaments,Kill Tracker,Tier 3: Range*,Achronal Phoneutria Fera*,Sparks Everlasting*,,,
Phoneutria Fera,3496887154,"""6917530146600121968""",keep,Legendary,5,Hand Cannon,events,Energy,Solar,primary,441,Spread Shot,Stability,2,Vault,true,false,false,8,27,,93,65,96,57,12,0,0,0,48,100,36,9,35,0,0,0,0,0,0,0,0,23,56,0,0,false,0,0,hakke,,PVP,Spread Shot*,Chambered Compensator,Hammer-Forged Rifling*,Tactical Mag*,Steady Rounds,Threat Remover,Slideshot*,Proximity Power,Swashbuckler*,Binary Orbit,Frenzy,Tenacity*,Häkke Breach Armaments,Kill Tracker,Enhanced Range*,Tier 2: Stability*,Achronal Phoneutria Fera*,Sparks Everlasting*,,
Phoneutria Fera,3804242794,"""6917530146613250832""",keep,Legendary,5,Hand Cannon,,Energy,Solar,primary,453,Spread Shot,Range,10,Warlock(433),true,false,true,8,27,,93,65,96,84,14,0,0,0,45,100,30,8,40,0,0,0,0,0,0,0,0,23,56,0,0,false,0,7,hakke,,PVP,Spread Shot*,Chambered Compensator,Hammer-Forged Rifling*,Accurized Rounds*,Flared Magwell,Barrel Constrictor,Threat Detector*,Proximity Power,Swashbuckler*,Binary Orbit,Surrounded,Tenacity*,Häkke Breach Armaments,Kill Tracker,Enhanced Range*,Masterworked: Range*,Sparks Everlasting*,,,
Phoneutria Fera,3496887154,"""6917530146805941598""",archive,Legendary,5,Hand Cannon,events,Energy,Solar,primary,457,Spread Shot,Handling,5,Vault,true,false,false,8,27,,93,65,96,62,12,0,0,0,31,100,25,8,36,0,0,0,0,0,0,0,0,23,56,0,0,false,0,0,hakke,,,Spread Shot*,Arrowhead Brake,Full Bore*,Accurized Rounds*,Alloy Magazine,Slideshot*,Transcendent Moment,Proximity Power,Swashbuckler*,Surrounded,Incandescent,Tenacity*,Häkke Breach Armaments,Kill Tracker,Tier 5: Handling*,Achronal Phoneutria Fera*,Sparks Everlasting*,,,
Phoneutria Fera,3804242794,"""6917530147106167336""",archive,Legendary,3,Hand Cannon,,Energy,Solar,primary,462,Spread Shot,Handling,10,Vault,true,false,true,8,27,,100,65,96,38,14,0,0,0,48,100,43,8,58,0,0,0,0,0,0,0,0,23,56,0,0,false,0,0,hakke,,,Spread Shot*,Arrowhead Brake*,Flared Magwell*,Threat Remover*,Swashbuckler*,Tenacity*,Häkke Breach Armaments,Kill Tracker,Masterworked: Handling*,,,,,,,,,,,
